Song,Artist,Genre,Embed-link
Celebration Day,Led Zeppelin,Rock,ZPeUzqSyHeI
Communication Breakdown,Led Zeppelin,Rock,qoqQnR8NOVI
Custard Pie,Led Zeppelin,Rock,VVP3g1-Wq_0
D'Yer Mak'er,Led Zeppelin,Rock,xje-1sw3T0s
Dancing Days,Led Zeppelin,Rock,qztKD75J2BM
Darlene,Led Zeppelin,Rock,jSq9hCkBiko
Dazed and Confused,Led Zeppelin,Rock,-rmtJ6-EY1E
Down By The Seaside,Led Zeppelin,Rock,g2U1BhziqzM
Fool In the Rain,Led Zeppelin,Rock,I57nIP0vc44
For Your Life,Led Zeppelin,Rock,r_JCEcHZZHs
Four Sticks,Led Zeppelin,Rock,T8GP2j7NdSo
Friends,Led Zeppelin,Rock,Vl_2uqYW6FM
Civil War,Gun n Roses,Rock,isCh4kCeNYU
Don't Cry,Gun n Roses,Rock,zRIbf6JqkNc
Knockin' On Heaven's Door,Gun n Roses,Rock,9ejTFN8Zgl8
Live and Let Die,Gun n Roses,Rock,6D9vAItORgE
Mr. Brownstone,Gun n Roses,Rock,27rKrR424cA
My Michelle,Gun n Roses,Rock,scmvAg_S97k
November Rain,Gun n Roses,Rock,8SbUC-UaAxE
Paradise City,Gun n Roses,Rock,Rbm6GXllBiw
Patience,Gun n Roses,Rock,ErvgV4P6Fzc
Sweet Child O' Mine,Gun n Roses,Rock,1w7OgIMMRc4
Used To Love Her,Gun n Roses,Rock,h5FpjF5vYzU
Welcome to the Jungle,Gun n Roses,Rock,o1tj2zJ2Wvg
You Could Be Mine,Gun n Roses,Rock,DVzcQ4_khsM
Its So Easy,Gun n Roses,Rock,FMbl1ntpIXQ
One In A Million,Gun n Roses,Rock,SJ2xUmlqS3c
Nightrain,Gun n Roses,Rock,VMDljoM5JFI
YesterDays,Gun n Roses,Rock,NDOPlpH6NZM
Rocket Queen,Gun n Roses,Rock,YxW9iekNSek
Aint It Fun,Gun n Roses,Rock,MZbfM4mBByI
Since I Dont Have You,Gun n Roses,Rock,IYOYlqOitDA
Rap God,Eminem,Rap,XbGs_qK2PQA
Love The Way You Lie,Eminem,Rap,uelHwf8o7_U
Without Me,Eminem,Rap,YVkUvmDQ3HY
Not Afraid,Eminem,Rap,j5-yKhDd64s
When Im Gone,Eminem,Rap,1wYNFfgrXTI
Killshot,Eminem,Rap,FxQTY-W6GIo
My Name Is,Eminem,Rap,sNPnbI1arSE
Sing For The Moment,Eminem,Rap,D4hAVemuQXY
No Love,Eminem,Rap,KV2ssT8lzj8
The Monster,Eminem,Rap,EHkozMIXZ8w
Forever,Eminem,Rap,eDuRoPIOBjE
Beautiful,Eminem,Rap,lgT1AidzRWM
Kill You,Eminem,Rap,D1I1x2pYMK0
Guts Over Fear,Eminem,Rap,0AqnCSdkjQ0
Bitch Please II,Eminem,Rap,tEMA8GL-ArI
Berzerk,Eminem,Rap,ab9176Srb5Y
Ass Like That,Eminem,Rap,um4-d7VzZiE
Shake That Ass,Eminem,Rap,WrjwGPb0Hvw
White America,Eminem,Rap,RZIzD0ZfTFg
Like Toy Soldiers,Eminem,Rap,lexLAjh8fPA
You Dont Know,Eminem,Rap,ngH0fkiNo-g
Super Bass,Nicki Minaj,Rap,4JipHEz53sU
Starships,Nicki Minaj,Rap,SeIJmciN8mo
Anaconda,Nicki Minaj,Rap,LDZX4ooRsWs
Bang Bang,Nicki Minaj,Rap,0HDdjwpPM3Y
Moment 4 Life,Nicki Minaj,Rap,
Pound The Alarm,Nicki Minaj,Rap,vdrqA93sW-8
Megatron,Nicki Minaj,Rap,C3a1sz2Bp_E
Your Love,Nicki Minaj,Rap,pSFyrrhKj1Q
Barbie Dreams,Nicki Minaj,Rap,_bvLphVWHpo
Only,Nicki Minaj,Rap,zXtsGAkyeIo
Va Va Voom,Nicki Minaj,Rap,3U72hzeBLOw
Right Thru Me,Nicki Minaj,Rap,5FJO6b8GL3M
Feeling Myself,Nicki Minaj,Rap,0Kg9xRooTVk
No Frauds,Nicki Minaj,Rap,VkXjvHfP3MM
Dead,Nicki Minaj,Rap,KiAlFgXlt-4
Barbie Tingz,Nicki Minaj,Rap,eppa0RXRU-I
Side To Side,Nicki Minaj,Rap,SXiSVQZLje8
Turn Me On,Nicki Minaj,Rap,YVw7eJ0vGfM
Romans Revenge,Nicki Minaj,Rap,akgmNWBlTAQ
FEFE,Nicki Minaj,Rap,V_MXGdSBbAI
Runaway,Kanye West,Rap,Bm5iA4Zupek
Famous ,Kanye West,Rap,p7FCgw_GlWc
Stronger,Kanye West,Rap,PsO6ZnUZI0g
Jesus Walks,Kanye West,Rap,MYF7H_fpc-g
Gold Digger,Kanye West,Rap,6vwNcNOTVzY
Love Lockdown,Kanye West,Rap,HZwMX6T5Jhk
All Of The Lights,Kanye West,Rap,HAfFfqiYLp0
Niggas In Paris,Kanye West,Rap,gG_dA32oH44
Monster,Kanye West,Rap,dK2zzhgMlJA
Heartless,Kanye West,Rap,Co0tTeuUVhU
Power,Kanye West,Rap,L53gjP-TtGE
Cant Tell Me Nothing,Kanye West,Rap,E58qLXBfLrs
Real Friends,Kanye West,Rap,fWD9GF-Ogf4
Ultralight Beam,Kanye West,Rap,6oHdAA3AqnE
Flashing Lights,Kanye West,Rap,ila-hAUXR5U
Mercy,Kanye West,Rap,7Dqgr0wNyPo
Good Life,Kanye West,Rap,FEKEjpTzB0Q
Otis,Kanye West,Rap,BoEKWtgJQAU
I Love It,Kanye West,Rap,cwQgjq0mCdE
New Slaves,Kanye West,Rap,vQ0u09mFodw
Sucker For Pain,Lil Wayne,Rap,-59jGD4WrmE
Mirror,Lil Wayne,Rap,OZLUa8JUR18
Love Me,Lil Wayne,Rap,KY44zvhWhp4
A Milli,Lil Wayne,Rap,aLBuWIlfz_E
Uproar,Lil Wayne,Rap,GQ2juiyXk-s
Lollipop,Lil Wayne,Rap,2IH8tNQAzSs
6 Foot 7 Foot,Lil Wayne,Rap,c7tOAGY59uQ
No Frauds,Lil Wayne,Rap,VkXjvHfP3MM
Monalisa,Lil Wayne,Rap,fhauhH4FR84
Mrs. Officer,Lil Wayne,Rap,jMdKCuxD6sA
Forever,Lil Wayne,Rap,eDuRoPIOBjE
Go DJ,Lil Wayne,Rap,MNS-Ho5tWo0
Believe Me,Lil Wayne,Rap,JSOo4ULWYOA
Dont Cry,Lil Wayne,Rap,fkLLeOCOQ3w
3 Peat,Lil Wayne,Rap,xvAjtf7BpAw
Watch My Shoes,Lil Wayne,Rap,ZOxKj7nU2YA
She Will,Lil Wayne,Rap,_7nYuyfkjCk
Let The Beat Build,Lil Wayne,Rap,H4q6MIsvroU
Got Money,Lil Wayne,Rap,1ohYsK5Y8Dc
John,Lil Wayne,Rap,3fumBcKC6RE
Old Town Road,Lil Nas X,Rap,w2Ov5jzm3j8
Panini,Lil Nas X,Rap,bXcSLI58-h8
Rodeo,Lil Nas X,Rap,kx0Z0B8Xox0
Kick It,Lil Nas X,Rap,JTx-l_rDZP4
Thanos,Lil Nas X,Rap,0M3T5UFt9hg
Kim Jong,Lil Nas X,Rap,Aq8BGJbG--I
Bring U Down,Lil Nas X,Rap,c_mR-dt_c3g
F9mily,Lil Nas X,Rap,w2Ov5jzm3j8
Pop Pop Pop,Lil Nas X,Rap,e-wLLKgCzMg
Get Flipped,Lil Nas X,Rap,G70KDjgebXs
Money In The Grave,Drake,Rap,b3lH6CULHD0
In My Feelings,Drake,Rap,DRS_PpOrUZ4
Gods Plan,Drake,Rap,xpVfcZ0ZcFM
Hotline Bling,Drake,Rap,uxpDa-c-4Mc
Best I Ever Had,Drake,Rap,Zfp3KfYH0xA
Take Care,Drake,Rap,-zzP29emgpg
The Motto,Drake,Rap,
Girls Need Love,Drake,Rap,TP3moIiyZFI
Worst Behaviour,Drake,Rap,CccnAvfLPvE
HYFR,Drake,Rap,0KCWqnldEag
Nonstop,Drake,Rap,lJTRVX9R5EA
One Dance,Drake,Rap,qL7zrWcv6XY
Passionfruit,Drake,Rap,COz9lDCFHjw
Over,Drake,Rap,2lTB1pIg1y0
Headlines,Drake,Rap,cimoNqiulUE
